,Unnamed: 0,id,time,x,y,s,a,dis,o,dir,event,nflId,displayName,jerseyNumber,position,frameId,team,playDirection,route
0,0,2018122200:88:16,2018-12-22T21:31:56.500Z,40.71,23.78,0.0,0.0,0.0,78.1,21.27,None,264.0,Josh Johnson,8.0,QB,1,away,right,
1,1,2018122200:88:16,2018-12-22T21:31:56.500Z,46.31,24.08,0.66,0.52,0.07,274.14,196.09,None,2354.0,Wesley Woodyard,59.0,ILB,1,home,right,
2,2,2018122200:88:16,2018-12-22T21:31:56.500Z,43.03,18.3,0.01,0.01,0.01,299.04,20.48,None,496828.0,Derrick Morgan,91.0,OLB,1,home,right,
3,3,2018122200:88:16,2018-12-22T21:31:56.500Z,34.04,23.91,0.0,0.0,0.0,120.07,166.34,None,2507164.0,Adrian Peterson,26.0,RB,1,away,right,OUT
4,4,2018122200:88:16,2018-12-22T21:31:56.500Z,38.85,19.78,3.31,1.4,0.34,143.48,175.9,None,2532841.0,Michael Floyd,17.0,WR,1,away,right,GO
5,5,2018122200:88:16,2018-12-22T21:31:56.500Z,54.92,31.02,0.29,0.5,0.03,265.07,102.08,None,2539320.0,Kenny Vaccaro,24.0,SS,1,home,right,
6,6,2018122200:88:16,2018-12-22T21:31:56.500Z,42.97,31.23,1.13,2.52,0.12,252.23,246.71,None,2550613.0,Malcolm Butler,21.0,CB,1,home,right,
7,7,2018122200:88:16,2018-12-22T21:31:56.500Z,40.83,30.35,0.0,0.0,0.0,93.77,344.24,None,2552415.0,Jamison Crowder,80.0,WR,1,away,right,CROSS
8,8,2018122200:88:16,2018-12-22T21:31:56.500Z,53.52,15.83,0.85,0.26,0.08,256.13,113.58,None,2555158.0,Kevin Byard,31.0,FS,1,home,right,
9,9,2018122200:88:16,2018-12-22T21:31:56.500Z,40.99,10.76,0.0,0.0,0.0,87.19,324.38,None,2555343.0,Josh Doctson,18.0,WR,1,away,right,GO
10,10,2018122200:88:16,2018-12-22T21:31:56.500Z,45.08,21.02,1.78,2.01,0.19,252.16,179.59,None,2555551.0,LeShaun Sims,36.0,CB,1,home,right,
11,11,2018122200:88:16,2018-12-22T21:31:56.500Z,40.15,27.91,0.0,0.0,0.0,84.88,226.91,None,2557886.0,Jeremy Sprinkle,87.0,TE,1,away,right,
12,12,2018122200:88:16,2018-12-22T21:31:56.500Z,46.66,26.31,1.04,1.97,0.11,276.54,318.15,None,2558005.0,Jayon Brown,55.0,ILB,1,home,right,
13,13,2018122200:88:16,2018-12-22T21:31:56.500Z,43.33,10.48,0.0,0.0,0.0,288.05,213.91,None,2558065.0,Adoree' Jackson,25.0,CB,1,home,right,
14,14,2018122200:88:16,2018-12-22T21:31:56.500Z,42.86,28.89,0.01,0.01,0.0,250.62,278.41,None,2560784.0,Harold Landry,58.0,OLB,1,home,right,
15,15,2018122200:88:16,2018-12-22T21:31:56.500Z,41.98,23.79,0.0,0.0,0.0,,,None,,Football,,,1,football,right,
1280,1280,2018122200:110:16,2018-12-22T21:32:44.900Z,37.06,23.94,0.18,0.14,0.02,92.21,59.78,None,264.0,Josh Johnson,8.0,QB,1,away,right,
1281,1281,2018122200:110:16,2018-12-22T21:32:44.900Z,43.43,26.43,0.87,0.61,0.08,266.57,212.23,None,2354.0,Wesley Woodyard,59.0,ILB,1,home,right,
1282,1282,2018122200:110:16,2018-12-22T21:32:44.900Z,42.77,16.94,0.01,0.33,0.0,275.55,248.62,None,496828.0,Derrick Morgan,91.0,OLB,1,home,right,
1283,1283,2018122200:110:16,2018-12-22T21:32:44.900Z,40.07,36.76,0.0,0.0,0.0,83.87,51.94,None,2532841.0,Michael Floyd,17.0,WR,1,away,right,HITCH
1284,1284,2018122200:110:16,2018-12-22T21:32:44.900Z,57.11,28.19,1.06,0.1,0.11,233.53,150.4,None,2539320.0,Kenny Vaccaro,24.0,SS,1,home,right,
1285,1285,2018122200:110:16,2018-12-22T21:32:44.900Z,37.15,26.62,0.2,0.38,0.02,134.33,248.78,None,2540011.0,Chris Thompson,25.0,RB,1,away,right,FLAT
1286,1286,2018122200:110:16,2018-12-22T21:32:44.900Z,42.42,43.44,0.0,0.0,0.01,255.86,210.97,None,2550613.0,Malcolm Butler,21.0,CB,1,home,right,
1287,1287,2018122200:110:16,2018-12-22T21:32:44.900Z,40.8,31.64,0.0,0.0,0.0,97.96,214.98,None,2552415.0,Jamison Crowder,80.0,WR,1,away,right,CORNER
1288,1288,2018122200:110:16,2018-12-22T21:32:44.900Z,45.98,19.08,0.83,1.4,0.09,263.87,318.45,None,2555158.0,Kevin Byard,31.0,FS,1,home,right,
1289,1289,2018122200:110:16,2018-12-22T21:32:44.900Z,40.2,43.59,0.0,0.0,0.0,92.1,161.11,None,2555343.0,Josh Doctson,18.0,WR,1,away,right,GO
1290,1290,2018122200:110:16,2018-12-22T21:32:44.900Z,46.94,37.32,0.44,0.45,0.04,252.3,117.43,None,2555551.0,LeShaun Sims,36.0,CB,1,home,right,
1291,1291,2018122200:110:16,2018-12-22T21:32:44.900Z,40.83,19.44,0.0,0.0,0.0,46.57,279.1,None,2557886.0,Jeremy Sprinkle,87.0,TE,1,away,right,
1292,1292,2018122200:110:16,2018-12-22T21:32:44.900Z,46.58,25.75,1.85,0.39,0.19,307.55,357.26,None,2558005.0,Jayon Brown,55.0,ILB,1,home,right,
1293,1293,2018122200:110:16,2018-12-22T21:32:44.900Z,43.47,31.87,0.0,0.0,0.0,293.47,286.36,None,2558065.0,Adoree' Jackson,25.0,CB,1,home,right,
1294,1294,2018122200:110:16,2018-12-22T21:32:44.900Z,42.87,21.13,0.0,0.0,0.01,266.69,278.94,None,2560718.0,Rashaan Evans,54.0,LB,1,home,right,
1295,1295,2018122200:110:16,2018-12-22T21:32:44.900Z,42.55,28.99,0.0,0.0,0.01,273.75,52.7,None,2560784.0,Harold Landry,58.0,OLB,1,home,right,
1296,1296,2018122200:110:16,2018-12-22T21:32:44.900Z,41.96,23.76,0.0,0.0,0.0,,,None,,Football,,,1,football,right,
2606,2606,2018122200:163:16,2018-12-22T21:34:10.400Z,68.51,29.86,0.36,0.4,0.03,93.01,120.39,None,264.0,Josh Johnson,8.0,QB,1,away,right,
2607,2607,2018122200:163:16,2018-12-22T21:34:10.400Z,76.64,24.94,0.37,0.16,0.04,271.26,20.33,None,2354.0,Wesley Woodyard,59.0,ILB,1,home,right,
2608,2608,2018122200:163:16,2018-12-22T21:34:10.400Z,73.81,23.94,0.0,0.0,0.01,323.07,251.59,None,496828.0,Derrick Morgan,91.0,OLB,1,home,right,
2609,2609,2018122200:163:16,2018-12-22T21:34:10.400Z,71.72,16.52,0.0,0.0,0.0,96.08,45.12,None,2532841.0,Michael Floyd,17.0,WR,1,away,right,HITCH
2610,2610,2018122200:163:16,2018-12-22T21:34:10.400Z,85.61,36.49,0.04,1.0,0.01,253.4,265.49,None,2539320.0,Kenny Vaccaro,24.0,SS,1,home,right,
2611,2611,2018122200:163:16,2018-12-22T21:34:10.400Z,70.52,46.89,0.0,0.0,0.0,81.43,176.11,None,2540011.0,Chris Thompson,25.0,RB,1,away,right,HITCH
2612,2612,2018122200:163:16,2018-12-22T21:34:10.400Z,76.62,46.58,0.86,0.14,0.12,254.48,91.99,None,2550613.0,Malcolm Butler,21.0,CB,1,home,right,
2613,2613,2018122200:163:16,2018-12-22T21:34:10.400Z,72.05,22.38,0.0,0.0,0.0,80.35,24.38,None,2552415.0,Jamison Crowder,80.0,WR,1,away,right,HITCH
2614,2614,2018122200:163:16,2018-12-22T21:34:10.400Z,84.7,23.09,0.26,0.56,0.04,258.87,296.66,None,2555158.0,Kevin Byard,31.0,FS,1,home,right,
2615,2615,2018122200:163:16,2018-12-22T21:34:10.400Z,71.86,37.5,0.0,0.0,0.0,93.39,190.52,None,2555343.0,Josh Doctson,18.0,WR,1,away,right,HITCH
