,Unnamed: 0,id,time,x,y,s,a,dis,o,dir,event,nflId,displayName,jerseyNumber,position,frameId,team,playDirection,route
0,0,2018120600:83:14,2018-12-07T01:23:42.599Z,85.79,25.06,0.0,0.0,0.0,292.51,253.38,None,2495469.0,Dion Lewis,33.0,RB,1,home,left,FLAT
1,1,2018120600:83:14,2018-12-07T01:23:42.599Z,68.51,21.01,1.67,1.1,0.16,111.5,162.72,None,2532848.0,Tashaun Gipson,39.0,FS,1,away,left,
2,2,2018120600:83:14,2018-12-07T01:23:42.599Z,79.59,17.14,0.99,1.23,0.09,56.5,327.54,None,2539237.0,D.J. Hayden,25.0,CB,1,away,left,
3,3,2018120600:83:14,2018-12-07T01:23:42.599Z,76.54,8.66,0.56,0.31,0.06,13.56,248.81,None,2541162.0,A.J. Bouye,21.0,CB,1,away,left,
4,4,2018120600:83:14,2018-12-07T01:23:42.599Z,75.82,28.98,0.36,1.53,0.04,119.68,62.39,None,2543711.0,Telvin Smith,50.0,OLB,1,away,left,
5,5,2018120600:83:14,2018-12-07T01:23:42.599Z,86.05,27.54,0.0,0.0,0.0,265.6,272.08,None,2552466.0,Marcus Mariota,8.0,QB,1,home,left,
6,6,2018120600:83:14,2018-12-07T01:23:42.599Z,78.11,34.38,0.3,0.39,0.03,132.27,201.44,None,2555280.0,Jalen Ramsey,20.0,CB,1,away,left,
7,7,2018120600:83:14,2018-12-07T01:23:42.599Z,83.56,22.94,2.64,2.19,0.27,217.26,189.49,None,2555317.0,Tajae Sharpe,19.0,WR,1,home,left,
8,8,2018120600:83:14,2018-12-07T01:23:42.599Z,76.23,25.69,2.03,0.83,0.2,120.08,166.94,None,2555329.0,Myles Jack,44.0,OLB,1,away,left,
9,9,2018120600:83:14,2018-12-07T01:23:42.599Z,82.69,16.84,0.01,0.01,0.01,248.29,169.37,None,2557848.0,Corey Davis,84.0,WR,1,home,left,CORNER
10,10,2018120600:83:14,2018-12-07T01:23:42.599Z,81.73,8.73,0.01,0.01,0.0,240.71,243.58,None,2557870.0,Taywan Taylor,13.0,WR,1,home,left,HITCH
11,11,2018120600:83:14,2018-12-07T01:23:42.599Z,82.03,32.43,0.0,0.0,0.0,261.43,344.3,None,2558207.0,Jonnu Smith,81.0,TE,1,home,left,CROSS
12,12,2018120600:83:14,2018-12-07T01:23:42.599Z,72.49,31.91,1.94,0.8,0.2,154.58,248.98,None,2561008.0,Ronnie Harrison,36.0,DB,1,away,left,
13,13,2018120600:83:14,2018-12-07T01:23:42.599Z,80.94,27.62,0.0,0.0,0.0,,,None,,Football,,,1,football,left,
994,994,2018120600:136:14,2018-12-07T01:25:04.400Z,69.6,22.73,0.06,1.93,0.01,337.26,336.34,shift,2495234.0,Luke Stocker,88.0,TE,1,home,left,GO
995,995,2018120600:136:14,2018-12-07T01:25:04.400Z,75.3,29.81,0.0,0.0,0.0,255.89,167.08,shift,2495469.0,Dion Lewis,33.0,RB,1,home,left,SCREEN
996,996,2018120600:136:14,2018-12-07T01:25:04.400Z,62.47,21.56,0.58,0.89,0.06,73.7,92.15,shift,2532848.0,Tashaun Gipson,39.0,FS,1,away,left,
997,997,2018120600:136:14,2018-12-07T01:25:04.400Z,60.06,17.09,0.34,0.69,0.04,27.61,324.84,shift,2541162.0,A.J. Bouye,21.0,CB,1,away,left,
998,998,2018120600:136:14,2018-12-07T01:25:04.400Z,62.65,26.87,0.0,0.0,0.0,134.27,145.6,shift,2543711.0,Telvin Smith,50.0,OLB,1,away,left,
999,999,2018120600:136:14,2018-12-07T01:25:04.400Z,69.41,29.8,0.0,0.0,0.0,260.02,186.83,shift,2552466.0,Marcus Mariota,8.0,QB,1,home,left,
1000,1000,2018120600:136:14,2018-12-07T01:25:04.400Z,61.57,40.17,0.01,0.01,0.01,106.23,6.55,shift,2555280.0,Jalen Ramsey,20.0,CB,1,away,left,
1001,1001,2018120600:136:14,2018-12-07T01:25:04.400Z,62.57,30.93,0.0,0.0,0.01,113.82,338.82,shift,2555329.0,Myles Jack,44.0,OLB,1,away,left,
1002,1002,2018120600:136:14,2018-12-07T01:25:04.400Z,68.69,38.91,0.0,0.0,0.0,197.56,86.84,shift,2557848.0,Corey Davis,84.0,WR,1,home,left,POST
1003,1003,2018120600:136:14,2018-12-07T01:25:04.400Z,68.59,19.3,0.0,0.0,0.0,263.01,152.43,shift,2557870.0,Taywan Taylor,13.0,WR,1,home,left,POST
1004,1004,2018120600:136:14,2018-12-07T01:25:04.400Z,69.7,34.52,0.0,0.0,0.0,279.14,177.9,shift,2558207.0,Jonnu Smith,81.0,TE,1,home,left,POST
1005,1005,2018120600:136:14,2018-12-07T01:25:04.400Z,66.39,36.89,0.03,0.03,0.01,154.04,87.54,shift,2560758.0,Leon Jacobs,48.0,LB,1,away,left,
1006,1006,2018120600:136:14,2018-12-07T01:25:04.400Z,49.95,31.63,1.35,0.34,0.14,106.22,269.02,shift,2561008.0,Ronnie Harrison,36.0,DB,1,away,left,
1007,1007,2018120600:136:14,2018-12-07T01:25:04.400Z,67.9,29.85,0.0,0.0,0.0,,,shift,,Football,,,1,football,left,
2198,2198,2018120600:183:14,2018-12-07T01:26:17.599Z,65.88,21.9,1.02,1.32,0.1,260.48,209.92,None,2495234.0,Luke Stocker,88.0,TE,1,home,left,FLAT
2199,2199,2018120600:183:14,2018-12-07T01:26:17.599Z,68.72,23.55,0.05,0.05,0.01,272.91,151.93,None,2495469.0,Dion Lewis,33.0,RB,1,home,left,ANGLE
2200,2200,2018120600:183:14,2018-12-07T01:26:17.599Z,57.26,20.01,0.31,0.22,0.03,82.8,125.77,None,2532848.0,Tashaun Gipson,39.0,FS,1,away,left,
2201,2201,2018120600:183:14,2018-12-07T01:26:17.599Z,54.63,13.17,0.08,0.35,0.02,51.21,269.33,None,2541162.0,A.J. Bouye,21.0,CB,1,away,left,
2202,2202,2018120600:183:14,2018-12-07T01:26:17.599Z,55.72,23.27,0.0,0.0,0.0,122.71,180.18,None,2543711.0,Telvin Smith,50.0,OLB,1,away,left,
2203,2203,2018120600:183:14,2018-12-07T01:26:17.599Z,62.96,23.64,0.01,0.0,0.01,266.18,220.66,None,2552466.0,Marcus Mariota,8.0,QB,1,home,left,
2204,2204,2018120600:183:14,2018-12-07T01:26:17.599Z,60.63,43.32,0.02,0.09,0.01,96.07,57.46,None,2555280.0,Jalen Ramsey,20.0,CB,1,away,left,
2205,2205,2018120600:183:14,2018-12-07T01:26:17.599Z,55.94,25.71,0.07,0.06,0.01,128.0,196.63,None,2555329.0,Myles Jack,44.0,OLB,1,away,left,
2206,2206,2018120600:183:14,2018-12-07T01:26:17.599Z,63.33,43.66,0.09,0.08,0.01,262.65,57.97,None,2557848.0,Corey Davis,84.0,WR,1,home,left,GO
2207,2207,2018120600:183:14,2018-12-07T01:26:17.599Z,62.36,14.65,0.0,0.0,0.0,315.05,178.67,None,2557870.0,Taywan Taylor,13.0,WR,1,home,left,GO
2208,2208,2018120600:183:14,2018-12-07T01:26:17.599Z,62.45,28.23,0.0,0.0,0.0,253.82,225.57,None,2558207.0,Jonnu Smith,81.0,TE,1,home,left,GO
2209,2209,2018120600:183:14,2018-12-07T01:26:17.599Z,60.03,30.48,0.0,0.0,0.0,110.3,288.07,None,2560758.0,Leon Jacobs,48.0,LB,1,away,left,
2210,2210,2018120600:183:14,2018-12-07T01:26:17.599Z,44.97,26.4,0.0,0.01,0.01,103.39,107.64,None,2561008.0,Ronnie Harrison,36.0,DB,1,away,left,
2211,2211,2018120600:183:14,2018-12-07T01:26:17.599Z,62.07,23.75,0.0,0.0,0.0,,,None,,Football,,,1,football,left,
3178,3178,2018120600:208:14,2018-12-07T01:26:56.900Z,62.9,23.6,0.04,0.05,0.01,258.04,207.6,None,2495234.0,Luke Stocker,88.0,TE,1,home,left,
3179,3179,2018120600:208:14,2018-12-07T01:26:56.900Z,66.14,23.58,0.02,0.02,0.0,267.61,207.1,None,2495469.0,Dion Lewis,33.0,RB,1,home,left,FLAT
3180,3180,2018120600:208:14,2018-12-07T01:26:56.900Z,41.57,26.04,0.12,0.12,0.01,104.36,97.49,None,2532848.0,Tashaun Gipson,39.0,FS,1,away,left,
3181,3181,2018120600:208:14,2018-12-07T01:26:56.900Z,51.08,12.89,0.0,0.0,0.0,43.06,340.41,None,2541162.0,A.J. Bouye,21.0,CB,1,away,left,
3182,3182,2018120600:208:14,2018-12-07T01:26:56.900Z,54.59,20.56,0.02,0.03,0.0,100.78,79.06,None,2543711.0,Telvin Smith,50.0,OLB,1,away,left,
3183,3183,2018120600:208:14,2018-12-07T01:26:56.900Z,59.73,23.65,0.08,0.06,0.02,250.71,249.85,None,2552466.0,Marcus Mariota,8.0,QB,1,home,left,
3184,3184,2018120600:208:14,2018-12-07T01:26:56.900Z,52.42,34.96,0.44,0.34,0.04,107.11,265.36,None,2555280.0,Jalen Ramsey,20.0,CB,1,away,left,
3185,3185,2018120600:208:14,2018-12-07T01:26:56.900Z,53.66,24.52,0.0,0.0,0.01,115.31,108.34,None,2555329.0,Myles Jack,44.0,OLB,1,away,left,
3186,3186,2018120600:208:14,2018-12-07T01:26:56.900Z,60.22,34.21,0.16,0.48,0.02,221.99,193.32,None,2557848.0,Corey Davis,84.0,WR,1,home,left,CORNER
3187,3187,2018120600:208:14,2018-12-07T01:26:56.900Z,59.54,14.55,0.0,0.0,0.0,269.53,259.92,None,2557870.0,Taywan Taylor,13.0,WR,1,home,left,POST
3188,3188,2018120600:208:14,2018-12-07T01:26:56.900Z,59.47,28.28,0.02,0.02,0.01,231.22,66.69,None,2558207.0,Jonnu Smith,81.0,TE,1,home,left,
3189,3189,2018120600:208:14,2018-12-07T01:26:56.900Z,53.49,26.63,0.06,0.05,0.0,107.67,327.21,None,2560758.0,Leon Jacobs,48.0,LB,1,away,left,
3190,3190,2018120600:208:14,2018-12-07T01:26:56.900Z,57.21,30.47,0.05,0.33,0.0,120.88,58.17,None,2561008.0,Ronnie Harrison,36.0,DB,1,away,left,
3191,3191,2018120600:208:14,2018-12-07T01:26:56.900Z,58.3,23.73,0.0,0.0,0.0,,,None,,Football,,,1,football,left,
4788,4788,2018120600:347:14,2018-12-07T01:33:06.000Z,31.36,24.36,0.09,0.1,0.01,265.11,200.5,None,2354.0,Wesley Woodyard,59.0,ILB,1,home,right,
4789,4789,2018120600:347:14,2018-12-07T01:33:06.000Z,27.77,29.61,0.1,0.05,0.02,275.99,256.92,None,71423.0,Brian Orakpo,98.0,OLB,1,home,right,
4790,4790,2018120600:347:14,2018-12-07T01:33:06.000Z,27.84,18.27,0.03,0.03,0.01,312.83,252.83,None,496828.0,Derrick Morgan,91.0,OLB,1,home,right,
4791,4791,2018120600:347:14,2018-12-07T01:33:06.000Z,32.4,27.98,0.22,0.09,0.04,251.32,147.44,None,2539320.0,Kenny Vaccaro,24.0,SS,1,home,right,
4792,4792,2018120600:347:14,2018-12-07T01:33:06.000Z,28.3,32.06,0.06,0.06,0.01,257.9,326.44,None,2540162.0,Logan Ryan,26.0,CB,1,home,right,
4793,4793,2018120600:347:14,2018-12-07T01:33:06.000Z,26.18,9.54,0.0,0.0,0.0,72.14,261.48,None,2543614.0,Donte Moncrief,10.0,WR,1,away,right,HITCH
4794,4794,2018120600:347:14,2018-12-07T01:33:06.000Z,33.55,33.95,0.2,0.27,0.02,250.55,150.75,None,2550613.0,Malcolm Butler,21.0,CB,1,home,right,
4795,4795,2018120600:347:14,2018-12-07T01:33:06.000Z,24.14,28.78,0.0,0.0,0.01,150.37,48.09,None,2553318.0,James O'Shaughnessy,80.0,TE,1,away,right,GO
4796,4796,2018120600:347:14,2018-12-07T01:33:06.000Z,42.64,23.43,0.18,0.03,0.02,259.33,38.72,None,2555158.0,Kevin Byard,31.0,FS,1,home,right,
