,Unnamed: 0,id,time,x,y,s,a,dis,o,dir,event,nflId,displayName,jerseyNumber,position,frameId,team,playDirection,route
0,0,2018102500:103:8,2018-10-26T00:27:01.200Z,38.47,35.03,0.0,0.0,0.0,96.28,149.52,None,2649.0,Danny Amendola,80.0,WR,1,away,right,GO
1,1,2018102500:103:8,2018-10-26T00:27:01.200Z,47.22,43.22,0.43,0.66,0.04,238.49,70.93,None,496735.0,Kareem Jackson,25.0,CB,1,home,right,
2,2,2018102500:103:8,2018-10-26T00:27:01.200Z,44.05,14.36,0.15,1.01,0.02,281.24,272.67,None,2495872.0,Johnathan Joseph,24.0,CB,1,home,right,
3,3,2018102500:103:8,2018-10-26T00:27:01.200Z,34.97,21.04,0.0,0.0,0.0,90.2,11.64,None,2506404.0,Frank Gore,21.0,RB,1,away,right,ANGLE
4,4,2018102500:103:8,2018-10-26T00:27:01.200Z,35.29,23.72,0.0,0.0,0.0,90.94,95.36,None,2533436.0,Brock Osweiler,8.0,QB,1,away,right,
5,5,2018102500:103:8,2018-10-26T00:27:01.200Z,44.3,32.72,0.08,0.43,0.01,266.04,318.71,None,2540180.0,Tyrann Mathieu,32.0,FS,1,home,right,
6,6,2018102500:103:8,2018-10-26T00:27:01.200Z,38.92,43.61,0.0,0.0,0.0,86.85,87.09,None,2552409.0,DeVante Parker,11.0,WR,1,away,right,GO
7,7,2018102500:103:8,2018-10-26T00:27:01.200Z,43.68,26.19,0.11,0.03,0.01,281.54,278.14,None,2552490.0,Benardrick McKinney,55.0,ILB,1,home,right,
8,8,2018102500:103:8,2018-10-26T00:27:01.200Z,35.13,26.92,0.02,0.01,0.0,103.73,235.5,None,2556190.0,Jakeem Grant,19.0,WR,1,away,right,OUT
9,9,2018102500:103:8,2018-10-26T00:27:01.200Z,43.74,21.89,0.03,0.04,0.0,265.03,210.02,None,2558094.0,Zach Cunningham,41.0,ILB,1,home,right,
10,10,2018102500:103:8,2018-10-26T00:27:01.200Z,52.8,18.24,0.17,0.1,0.02,276.86,201.8,None,2558853.0,Mike Tyson,34.0,CB,1,home,right,
11,11,2018102500:103:8,2018-10-26T00:27:01.200Z,51.03,34.08,0.15,0.09,0.01,260.97,115.48,None,2560851.0,Justin Reid,20.0,DB,1,home,right,
12,12,2018102500:103:8,2018-10-26T00:27:01.200Z,39.28,16.98,0.0,0.0,0.0,89.57,147.7,None,2560994.0,Mike Gesicki,86.0,TE,1,away,right,CROSS
13,13,2018102500:103:8,2018-10-26T00:27:01.200Z,39.69,23.68,0.0,0.0,0.0,,,None,,Football,,,1,football,right,
798,798,2018102500:174:8,2018-10-26T00:28:52.500Z,57.01,18.36,0.0,0.0,0.0,86.26,95.67,None,2649.0,Danny Amendola,80.0,WR,1,away,right,OUT
799,799,2018102500:174:8,2018-10-26T00:28:52.500Z,64.8,43.65,0.22,0.13,0.02,246.44,103.2,None,496735.0,Kareem Jackson,25.0,CB,1,home,right,
800,800,2018102500:174:8,2018-10-26T00:28:52.500Z,65.91,11.21,0.34,0.08,0.03,265.23,178.82,None,2495872.0,Johnathan Joseph,24.0,CB,1,home,right,
801,801,2018102500:174:8,2018-10-26T00:28:52.500Z,51.94,29.78,0.0,0.0,0.0,82.91,167.7,None,2506404.0,Frank Gore,21.0,RB,1,away,right,OUT
802,802,2018102500:174:8,2018-10-26T00:28:52.500Z,57.39,29.76,0.01,0.01,0.0,86.78,220.04,None,2533436.0,Brock Osweiler,8.0,QB,1,away,right,
803,803,2018102500:174:8,2018-10-26T00:28:52.500Z,62.87,18.73,1.2,0.78,0.12,285.28,116.61,None,2540180.0,Tyrann Mathieu,32.0,FS,1,home,right,
804,804,2018102500:174:8,2018-10-26T00:28:52.500Z,56.46,24.79,0.0,0.0,0.0,108.18,204.27,None,2552403.0,Nick O'Leary,83.0,TE,1,away,right,
805,805,2018102500:174:8,2018-10-26T00:28:52.500Z,57.76,43.67,0.0,0.0,0.0,81.91,100.48,None,2552409.0,DeVante Parker,11.0,WR,1,away,right,SLANT
806,806,2018102500:174:8,2018-10-26T00:28:52.500Z,63.17,27.61,0.36,0.23,0.03,279.86,258.97,None,2552490.0,Benardrick McKinney,55.0,ILB,1,home,right,
807,807,2018102500:174:8,2018-10-26T00:28:52.500Z,57.86,11.64,0.0,0.0,0.0,65.55,3.84,None,2556190.0,Jakeem Grant,19.0,WR,1,away,right,HITCH
808,808,2018102500:174:8,2018-10-26T00:28:52.500Z,63.6,31.37,0.01,0.01,0.0,274.79,279.9,None,2558094.0,Zach Cunningham,41.0,ILB,1,home,right,
809,809,2018102500:174:8,2018-10-26T00:28:52.500Z,66.77,20.91,1.16,1.87,0.11,280.14,308.98,None,2558853.0,Mike Tyson,34.0,CB,1,home,right,
810,810,2018102500:174:8,2018-10-26T00:28:52.500Z,73.07,32.14,1.62,0.73,0.16,264.61,98.89,None,2560851.0,Justin Reid,20.0,DB,1,home,right,
811,811,2018102500:174:8,2018-10-26T00:28:52.500Z,58.8,29.78,0.0,0.0,0.0,,,None,,Football,,,1,football,right,
1694,1694,2018102500:198:8,2018-10-26T00:29:23.799Z,71.04,34.66,0.0,0.0,0.0,110.42,13.76,None,2649.0,Danny Amendola,80.0,WR,1,away,right,SCREEN
1695,1695,2018102500:198:8,2018-10-26T00:29:23.799Z,80.63,43.67,0.33,0.69,0.03,245.56,79.37,None,496735.0,Kareem Jackson,25.0,CB,1,home,right,
1696,1696,2018102500:198:8,2018-10-26T00:29:23.799Z,82.03,13.03,0.32,1.09,0.03,295.0,181.81,None,2495872.0,Johnathan Joseph,24.0,CB,1,home,right,
1697,1697,2018102500:198:8,2018-10-26T00:29:23.799Z,67.51,26.38,0.04,0.03,0.01,91.71,139.23,None,2506404.0,Frank Gore,21.0,RB,1,away,right,ANGLE
1698,1698,2018102500:198:8,2018-10-26T00:29:23.799Z,68.34,23.93,0.01,0.01,0.01,92.56,75.23,None,2533436.0,Brock Osweiler,8.0,QB,1,away,right,
1699,1699,2018102500:198:8,2018-10-26T00:29:23.799Z,75.32,31.94,1.95,2.19,0.2,243.6,228.25,None,2540180.0,Tyrann Mathieu,32.0,FS,1,home,right,
1700,1700,2018102500:198:8,2018-10-26T00:29:23.799Z,71.65,19.2,0.0,0.0,0.0,40.69,72.06,None,2552403.0,Nick O'Leary,83.0,TE,1,away,right,
1701,1701,2018102500:198:8,2018-10-26T00:29:23.799Z,71.95,43.62,0.0,0.0,0.01,80.96,93.6,None,2552409.0,DeVante Parker,11.0,WR,1,away,right,HITCH
1702,1702,2018102500:198:8,2018-10-26T00:29:23.799Z,77.46,25.21,0.05,0.03,0.01,294.28,230.13,None,2552490.0,Benardrick McKinney,55.0,ILB,1,home,right,
1703,1703,2018102500:198:8,2018-10-26T00:29:23.799Z,70.9,15.79,0.0,0.0,0.0,249.77,141.77,None,2556190.0,Jakeem Grant,19.0,WR,1,away,right,OUT
1704,1704,2018102500:198:8,2018-10-26T00:29:23.799Z,78.04,21.06,0.04,0.04,0.01,224.97,313.96,None,2558094.0,Zach Cunningham,41.0,ILB,1,home,right,
1705,1705,2018102500:198:8,2018-10-26T00:29:23.799Z,86.49,19.69,0.02,0.02,0.01,286.65,82.28,None,2558853.0,Mike Tyson,34.0,CB,1,home,right,
1706,1706,2018102500:198:8,2018-10-26T00:29:23.799Z,84.21,32.6,0.21,0.43,0.02,280.54,210.58,None,2560851.0,Justin Reid,20.0,DB,1,home,right,
1707,1707,2018102500:198:8,2018-10-26T00:29:23.799Z,72.83,24.03,0.0,0.0,0.0,,,None,,Football,,,1,football,right,
2226,2226,2018102500:220:8,2018-10-26T00:30:07.099Z,70.71,29.79,2.55,4.07,0.28,68.74,10.53,None,2649.0,Danny Amendola,80.0,WR,1,away,right,
2227,2227,2018102500:220:8,2018-10-26T00:30:07.099Z,79.92,35.24,0.06,0.06,0.01,221.24,65.25,None,496735.0,Kareem Jackson,25.0,CB,1,home,right,
2228,2228,2018102500:220:8,2018-10-26T00:30:07.099Z,80.83,15.6,0.24,0.81,0.03,280.65,25.16,None,2495872.0,Johnathan Joseph,24.0,CB,1,home,right,
2229,2229,2018102500:220:8,2018-10-26T00:30:07.099Z,66.68,23.98,0.0,0.0,0.0,86.11,130.6,None,2506404.0,Frank Gore,21.0,RB,1,away,right,
2230,2230,2018102500:220:8,2018-10-26T00:30:07.099Z,71.51,23.89,0.01,0.01,0.0,77.99,92.85,None,2533436.0,Brock Osweiler,8.0,QB,1,away,right,
2231,2231,2018102500:220:8,2018-10-26T00:30:07.099Z,79.75,28.95,3.22,2.14,0.34,283.1,350.65,None,2540180.0,Tyrann Mathieu,32.0,FS,1,home,right,
2232,2232,2018102500:220:8,2018-10-26T00:30:07.099Z,71.93,28.55,0.04,0.04,0.0,114.51,145.0,None,2552403.0,Nick O'Leary,83.0,TE,1,away,right,
2233,2233,2018102500:220:8,2018-10-26T00:30:07.099Z,71.84,15.94,0.0,0.0,0.0,104.0,274.64,None,2552409.0,DeVante Parker,11.0,WR,1,away,right,
2234,2234,2018102500:220:8,2018-10-26T00:30:07.099Z,74.26,23.86,0.01,0.01,0.01,299.55,245.37,None,2552490.0,Benardrick McKinney,55.0,ILB,1,home,right,
2235,2235,2018102500:220:8,2018-10-26T00:30:07.099Z,71.21,32.45,0.0,0.0,0.0,137.89,279.19,None,2556190.0,Jakeem Grant,19.0,WR,1,away,right,
2236,2236,2018102500:220:8,2018-10-26T00:30:07.099Z,78.08,24.49,0.98,0.73,0.09,256.66,356.8,None,2558094.0,Zach Cunningham,41.0,ILB,1,home,right,
2237,2237,2018102500:220:8,2018-10-26T00:30:07.099Z,86.82,23.63,1.6,0.8,0.16,250.11,49.69,None,2558853.0,Mike Tyson,34.0,CB,1,home,right,
2238,2238,2018102500:220:8,2018-10-26T00:30:07.099Z,77.1,28.81,2.23,0.34,0.22,266.42,257.44,None,2560851.0,Justin Reid,20.0,DB,1,home,right,
2239,2239,2018102500:220:8,2018-10-26T00:30:07.099Z,72.8,23.77,0.0,0.0,0.0,,,None,,Football,,,1,football,right,
2912,2912,2018102500:273:8,2018-10-26T00:31:53.400Z,69.68,36.58,0.32,2.02,0.04,91.22,55.17,None,2649.0,Danny Amendola,80.0,WR,1,away,right,SCREEN
2913,2913,2018102500:273:8,2018-10-26T00:31:53.400Z,75.84,39.59,0.71,0.81,0.08,231.16,317.77,None,496735.0,Kareem Jackson,25.0,CB,1,home,right,
2914,2914,2018102500:273:8,2018-10-26T00:31:53.400Z,77.51,18.6,0.24,0.42,0.03,308.68,245.46,None,2495872.0,Johnathan Joseph,24.0,CB,1,home,right,
2915,2915,2018102500:273:8,2018-10-26T00:31:53.400Z,73.78,23.21,0.16,0.65,0.02,249.87,303.52,None,2533049.0,Whitney Mercilus,59.0,OLB,1,home,right,
2916,2916,2018102500:273:8,2018-10-26T00:31:53.400Z,67.73,25.32,0.04,0.09,0.0,91.9,50.61,None,2533436.0,Brock Osweiler,8.0,QB,1,away,right,
2917,2917,2018102500:273:8,2018-10-26T00:31:53.400Z,75.88,34.84,0.99,0.55,0.1,265.33,285.97,None,2540180.0,Tyrann Mathieu,32.0,FS,1,home,right,
2918,2918,2018102500:273:8,2018-10-26T00:31:53.400Z,70.57,20.1,0.0,0.0,0.0,37.6,10.37,None,2552403.0,Nick O'Leary,83.0,TE,1,away,right,
2919,2919,2018102500:273:8,2018-10-26T00:31:53.400Z,71.01,35.18,0.01,0.01,0.01,108.38,254.6,None,2552409.0,DeVante Parker,11.0,WR,1,away,right,OUT
2920,2920,2018102500:273:8,2018-10-26T00:31:53.400Z,76.04,26.22,0.76,0.47,0.08,293.55,89.79,None,2552490.0,Benardrick McKinney,55.0,ILB,1,home,right,
2921,2921,2018102500:273:8,2018-10-26T00:31:53.400Z,66.9,28.03,0.0,0.0,0.0,104.96,219.4,None,2555230.0,Kenyan Drake,32.0,RB,1,away,right,FLAT
2922,2922,2018102500:273:8,2018-10-26T00:31:53.400Z,70.41,34.05,0.0,0.0,0.0,215.85,53.14,None,2556190.0,Jakeem Grant,19.0,WR,1,away,right,SCREEN
2923,2923,2018102500:273:8,2018-10-26T00:31:53.400Z,77.27,24.21,0.25,0.05,0.04,261.26,241.51,None,2558094.0,Zach Cunningham,41.0,ILB,1,home,right,
2924,2924,2018102500:273:8,2018-10-26T00:31:53.400Z,88.96,22.9,0.52,1.37,0.05,268.95,146.49,None,2558853.0,Mike Tyson,34.0,CB,1,home,right,
2925,2925,2018102500:273:8,2018-10-26T00:31:53.400Z,73.52,27.98,0.22,0.14,0.02,269.1,247.13,None,2560714.0,Duke Ejiofor,53.0,LB,1,home,right,
2926,2926,2018102500:273:8,2018-10-26T00:31:53.400Z,84.44,32.98,1.66,0.93,0.17,270.44,51.25,None,2560851.0,Justin Reid,20.0,DB,1,home,right,
2927,2927,2018102500:273:8,2018-10-26T00:31:53.400Z,71.77,25.32,0.0,0.0,0.0,,,None,,Football,,,1,football,right,
3792,3792,2018102500:297:8,2018-10-26T00:32:34.200Z,80.74,36.52,0.11,0.07,0.01,85.58,104.41,line_set,2649.0,Danny Amendola,80.0,WR,1,away,right,IN
3793,3793,2018102500:297:8,2018-10-26T00:32:34.200Z,86.86,39.06,0.72,0.6,0.07,235.7,53.16,line_set,496735.0,Kareem Jackson,25.0,CB,1,home,right,
3794,3794,2018102500:297:8,2018-10-26T00:32:34.200Z,89.53,20.1,0.51,1.3,0.05,303.0,85.6,line_set,2495872.0,Johnathan Joseph,24.0,CB,1,home,right,
