,Unnamed: 0,id,time,x,y,s,a,dis,o,dir,event,nflId,displayName,jerseyNumber,position,frameId,team,playDirection,route
0,0,2018112900:74:13,2018-11-30T01:23:34.400Z,76.58,28.51,0.01,0.01,0.0,64.85,111.99,None,2533008.0,Demario Davis,56.0,ILB,1,away,left,
1,1,2018112900:74:13,2018-11-30T01:23:34.400Z,83.06,18.17,0.0,0.0,0.0,291.68,348.76,None,2535698.0,Cole Beasley,11.0,WR,1,home,left,HITCH
2,2,2018112900:74:13,2018-11-30T01:23:34.400Z,76.51,25.57,0.01,0.01,0.0,116.62,6.78,None,2539982.0,A.J. Klein,53.0,OLB,1,away,left,
3,3,2018112900:74:13,2018-11-30T01:23:34.400Z,77.28,16.68,0.02,0.03,0.0,339.54,162.92,None,2552484.0,P.J. Williams,26.0,CB,1,away,left,
4,4,2018112900:74:13,2018-11-30T01:23:34.400Z,82.16,9.84,0.01,0.01,0.0,282.92,188.09,None,2552487.0,Amari Cooper,19.0,WR,1,home,left,HITCH
5,5,2018112900:74:13,2018-11-30T01:23:34.400Z,88.45,26.9,0.0,0.0,0.01,237.37,222.95,None,2555224.0,Ezekiel Elliott,21.0,RB,1,home,left,
6,6,2018112900:74:13,2018-11-30T01:23:34.400Z,82.77,27.18,0.01,0.01,0.01,279.99,6.96,None,2555260.0,Dak Prescott,4.0,QB,1,home,left,
7,7,2018112900:74:13,2018-11-30T01:23:34.400Z,75.09,35.13,2.34,2.43,0.25,147.33,204.2,None,2555277.0,Eli Apple,25.0,CB,1,away,left,
8,8,2018112900:74:13,2018-11-30T01:23:34.400Z,78.93,33.06,1.56,0.51,0.16,126.24,183.14,None,2555530.0,Vonn Bell,24.0,FS,1,away,left,
9,9,2018112900:74:13,2018-11-30T01:23:34.400Z,73.65,9.48,0.64,0.89,0.06,332.12,17.97,None,2558061.0,Marshon Lattimore,23.0,CB,1,away,left,
10,10,2018112900:74:13,2018-11-30T01:23:34.400Z,84.41,30.55,2.84,2.92,0.3,235.61,188.99,None,2558091.0,Noah Brown,85.0,WR,1,home,left,FLAT
11,11,2018112900:74:13,2018-11-30T01:23:34.400Z,63.52,23.86,0.21,0.64,0.02,55.11,166.53,None,2558847.0,Marcus Williams,43.0,FS,1,away,left,
12,12,2018112900:74:13,2018-11-30T01:23:34.400Z,82.7,31.7,0.0,0.0,0.02,190.93,216.33,None,2560866.0,Dalton Schultz,86.0,TE,1,home,left,IN
13,13,2018112900:74:13,2018-11-30T01:23:34.400Z,81.45,27.16,0.0,0.0,0.01,,,None,,Football,,,1,football,left,
784,784,2018112900:121:13,2018-11-30T01:24:51.700Z,68.82,21.63,0.36,1.0,0.03,32.38,132.75,None,2533008.0,Demario Davis,56.0,ILB,1,away,left,
785,785,2018112900:121:13,2018-11-30T01:24:51.700Z,74.51,45.23,0.19,1.31,0.03,274.76,206.96,None,2535698.0,Cole Beasley,11.0,WR,1,home,left,HITCH
786,786,2018112900:121:13,2018-11-30T01:24:51.700Z,68.76,25.29,0.0,0.0,0.01,91.26,327.08,None,2539982.0,A.J. Klein,53.0,OLB,1,away,left,
787,787,2018112900:121:13,2018-11-30T01:24:51.700Z,70.93,37.17,0.59,1.25,0.07,83.0,337.59,None,2552484.0,P.J. Williams,26.0,CB,1,away,left,
788,788,2018112900:121:13,2018-11-30T01:24:51.700Z,75.05,8.0,0.01,0.49,0.0,226.87,12.6,None,2552487.0,Amari Cooper,19.0,WR,1,home,left,HITCH
789,789,2018112900:121:13,2018-11-30T01:24:51.700Z,79.14,21.9,0.17,0.11,0.02,216.53,138.04,None,2555224.0,Ezekiel Elliott,21.0,RB,1,home,left,
790,790,2018112900:121:13,2018-11-30T01:24:51.700Z,78.56,24.01,0.47,0.71,0.05,267.13,263.32,None,2555260.0,Dak Prescott,4.0,QB,1,home,left,
791,791,2018112900:121:13,2018-11-30T01:24:51.700Z,66.89,43.0,2.0,1.29,0.21,123.88,10.81,None,2555277.0,Eli Apple,25.0,CB,1,away,left,
792,792,2018112900:121:13,2018-11-30T01:24:51.700Z,70.11,14.46,0.3,0.86,0.03,86.39,345.05,None,2555530.0,Vonn Bell,24.0,FS,1,away,left,
793,793,2018112900:121:13,2018-11-30T01:24:51.700Z,76.49,36.07,0.01,0.32,0.0,289.69,224.06,None,2557920.0,Jourdan Lewis,27.0,CB,1,home,left,GO
794,794,2018112900:121:13,2018-11-30T01:24:51.700Z,66.78,8.62,1.22,0.26,0.12,97.38,255.23,None,2558061.0,Marshon Lattimore,23.0,CB,1,away,left,
795,795,2018112900:121:13,2018-11-30T01:24:51.700Z,57.26,24.46,1.59,0.25,0.16,124.81,310.08,None,2558847.0,Marcus Williams,43.0,FS,1,away,left,
796,796,2018112900:121:13,2018-11-30T01:24:51.700Z,74.45,16.4,0.12,0.08,0.01,280.34,0.39,None,2560866.0,Dalton Schultz,86.0,TE,1,home,left,GO
797,797,2018112900:121:13,2018-11-30T01:24:51.700Z,73.48,23.98,0.0,0.0,0.0,,,None,,Football,,,1,football,left,
1456,1456,2018112900:169:13,2018-11-30T01:26:08.500Z,70.24,31.75,0.02,0.02,0.01,83.75,148.3,None,2533008.0,Demario Davis,56.0,ILB,1,away,left,
1457,1457,2018112900:169:13,2018-11-30T01:26:08.500Z,71.66,20.19,0.0,0.0,0.0,289.42,59.35,None,2535698.0,Cole Beasley,11.0,WR,1,home,left,GO
1458,1458,2018112900:169:13,2018-11-30T01:26:08.500Z,69.88,27.23,0.52,0.14,0.05,104.95,103.35,None,2539982.0,A.J. Klein,53.0,OLB,1,away,left,
1459,1459,2018112900:169:13,2018-11-30T01:26:08.500Z,70.17,21.25,0.0,0.0,0.0,71.02,59.26,None,2552484.0,P.J. Williams,26.0,CB,1,away,left,
1460,1460,2018112900:169:13,2018-11-30T01:26:08.500Z,72.95,18.04,0.0,0.0,0.0,299.82,185.83,None,2552487.0,Amari Cooper,19.0,WR,1,home,left,POST
1461,1461,2018112900:169:13,2018-11-30T01:26:08.500Z,76.53,32.0,0.18,0.54,0.02,109.45,62.43,None,2555224.0,Ezekiel Elliott,21.0,RB,1,home,left,
1462,1462,2018112900:169:13,2018-11-30T01:26:08.500Z,75.71,29.49,0.25,0.56,0.03,273.84,248.39,None,2555260.0,Dak Prescott,4.0,QB,1,home,left,
