,playerId,playId,meanDistance,meanDistanceAfterPass,numberPlayers5ydsAfterPass,areaDifference,numberPlayersDeep,numberPlayersDeepDifference,numberPlayersUnderneath,densityDifference,heightDifference,widthDifference,cluster,homeScore,visitorScore,down,quarter,yardsToGo,yardsToEndZone,gameClock
0,71251.0,2018093006:2225:4,10.568906983060762,11.79157083099108,0.0,44.67445000000009,5,0,3,0.1790732734258616,5.270000000000003,-41.73,2.0,24.0,0.0,3,2,1,66.0,00:07:00
1,89756.0,2018093006:2225:4,10.946105122372721,4.581271820046073,0.8,44.67445000000009,5,0,3,0.1790732734258616,5.270000000000003,-41.73,2.0,24.0,0.0,3,2,1,66.0,00:07:00
2,494287.0,2018093006:2225:4,31.074777550236817,19.61159373145393,0.0,44.67445000000009,5,0,3,0.1790732734258616,5.270000000000003,-41.73,2.0,24.0,0.0,3,2,1,66.0,00:07:00
3,2533062.0,2018093006:2225:4,22.644911025948886,19.28842800572256,0.0,44.67445000000009,5,0,3,0.1790732734258616,5.270000000000003,-41.73,2.0,24.0,0.0,3,2,1,66.0,00:07:00
4,2541243.0,2018093006:2225:4,24.893453817257363,14.407899257805237,0.0,44.67445000000009,5,0,3,0.1790732734258616,5.270000000000003,-41.73,2.0,24.0,0.0,3,2,1,66.0,00:07:00
5,2543699.0,2018093006:2225:4,11.761911987863144,2.608990782671584,1.0,44.67445000000009,5,0,3,0.1790732734258616,5.270000000000003,-41.73,2.0,24.0,0.0,3,2,1,66.0,00:07:00
6,2556571.0,2018093006:2225:4,11.027132081629546,4.255269929789256,0.8,44.67445000000009,5,0,3,0.1790732734258616,5.270000000000003,-41.73,2.0,24.0,0.0,3,2,1,66.0,00:07:00
7,2560754.0,2018093006:2225:4,13.751398446245934,8.85417986659588,0.0,44.67445000000009,5,0,3,0.1790732734258616,5.270000000000003,-41.73,2.0,24.0,0.0,3,2,1,66.0,00:07:00
8,2506789.0,2018101500:3701:6,6.174919118118194,3.8386986682086546,0.68,-22.825949999999978,0,0,4,-0.17523914667297544,0.44999999999999574,-11.650000000000013,1.0,30.0,30.0,3,4,3,46.0,01:13:00
9,2556480.0,2018101500:3701:6,4.814886503136908,1.6746907713414856,1.28,-22.825949999999978,0,0,4,-0.17523914667297544,0.44999999999999574,-11.650000000000013,1.0,30.0,30.0,3,4,3,46.0,01:13:00
10,2557996.0,2018101500:3701:6,5.96020016616426,1.659592461557539,1.0,-22.825949999999978,0,0,4,-0.17523914667297544,0.44999999999999574,-11.650000000000013,1.0,30.0,30.0,3,4,3,46.0,01:13:00
