,time,x,y,s,a,dis,o,dir,event,nflId,displayName,jerseyNumber,position,frameId,team,gameId,playId,playDirection,route
0,2018-10-19T00:24:59.400Z,43.25,29.61,0.0,0.0,0.0,261.14,336.6,None,494307.0,Darian Stewart,26.0,FS,1,away,2018101800,96,right,
1,2018-10-19T00:24:59.400Z,27.69,18.77,0.0,0.0,0.0,106.5,35.38,None,2495202.0,Von Miller,58.0,OLB,1,away,2018101800,96,right,
2,2018-10-19T00:24:59.400Z,25.23,35.3,0.0,0.0,0.0,77.76,128.38,None,2506106.0,Larry Fitzgerald,11.0,WR,1,home,2018101800,96,right,OUT
3,2018-10-19T00:24:59.400Z,32.93,6.91,0.49,0.33,0.05,72.19,118.73,None,2507917.0,Tramaine Brock,22.0,CB,1,away,2018101800,96,right,
4,2018-10-19T00:24:59.400Z,29.78,35.29,0.55,0.28,0.06,259.21,114.2,None,2530510.0,Chris Harris,25.0,CB,1,away,2018101800,96,right,
5,2018-10-19T00:24:59.400Z,32.59,28.51,0.01,0.01,0.0,285.49,73.69,None,2532898.0,Brandon Marshall,54.0,ILB,1,away,2018101800,96,right,
6,2018-10-19T00:24:59.400Z,34.0,42.79,0.49,0.4,0.06,237.95,23.48,None,2543505.0,Bradley Roby,29.0,CB,1,away,2018101800,96,right,
7,2018-10-19T00:24:59.400Z,33.52,21.64,0.02,0.02,0.0,293.52,136.1,None,2550930.0,Todd Davis,51.0,ILB,1,away,2018101800,96,right,
8,2018-10-19T00:24:59.400Z,25.99,13.95,0.0,0.0,0.0,109.82,51.71,None,2553435.0,David Johnson,31.0,RB,1,home,2018101800,96,right,SLANT
9,2018-10-19T00:24:59.400Z,33.26,12.82,0.28,0.07,0.03,301.87,212.35,None,2555550.0,Justin Simmons,31.0,SS,1,away,2018101800,96,right,
10,2018-10-19T00:24:59.400Z,25.71,30.34,0.0,0.0,0.0,96.47,67.69,None,2559248.0,Ricky Seals-Jones,86.0,TE,1,home,2018101800,96,right,OUT
11,2018-10-19T00:24:59.400Z,25.34,7.26,0.0,0.0,0.0,99.46,130.14,None,2560711.0,Chase Edmonds,29.0,RB,1,home,2018101800,96,right,IN
12,2018-10-19T00:24:59.400Z,25.31,42.68,0.0,0.0,0.0,97.34,329.7,None,2560781.0,Christian Kirk,13.0,WR,1,home,2018101800,96,right,GO
13,2018-10-19T00:24:59.400Z,22.69,24.12,0.01,0.02,0.0,71.11,83.64,None,2560858.0,Josh Rosen,3.0,QB,1,home,2018101800,96,right,
14,2018-10-19T00:24:59.400Z,26.78,23.98,0.0,0.0,0.0,,,None,,Football,,,1,football,2018101800,96,right,
1290,2018-10-19T00:31:32.200Z,39.44,34.89,1.5,1.77,0.14,228.9,145.69,None,494307.0,Darian Stewart,26.0,FS,1,away,2018101800,217,right,
1291,2018-10-19T00:31:32.200Z,24.67,34.87,0.0,0.0,0.02,98.07,339.27,None,497238.0,Jermaine Gresham,84.0,TE,1,home,2018101800,217,right,GO
1292,2018-10-19T00:31:32.200Z,26.64,23.91,0.12,1.33,0.01,140.95,202.04,None,2495202.0,Von Miller,58.0,OLB,1,away,2018101800,217,right,
1293,2018-10-19T00:31:32.200Z,24.43,18.33,0.0,0.0,0.0,77.71,294.43,None,2506106.0,Larry Fitzgerald,11.0,WR,1,home,2018101800,217,right,GO
