,time,x,y,s,a,dis,o,dir,event,nflId,displayName,jerseyNumber,position,frameId,team,gameId,playId,playDirection,route
0,2018-11-30T01:23:34.400Z,76.58,28.51,0.01,0.01,0.0,64.85,111.99,None,2533008.0,Demario Davis,56.0,ILB,1,away,2018112900,74,left,
1,2018-11-30T01:23:34.400Z,83.06,18.17,0.0,0.0,0.0,291.68,348.76,None,2535698.0,Cole Beasley,11.0,WR,1,home,2018112900,74,left,HITCH
2,2018-11-30T01:23:34.400Z,76.51,25.57,0.01,0.01,0.0,116.62,6.78,None,2539982.0,A.J. Klein,53.0,OLB,1,away,2018112900,74,left,
3,2018-11-30T01:23:34.400Z,77.28,16.68,0.02,0.03,0.0,339.54,162.92,None,2552484.0,P.J. Williams,26.0,CB,1,away,2018112900,74,left,
4,2018-11-30T01:23:34.400Z,82.16,9.84,0.01,0.01,0.0,282.92,188.09,None,2552487.0,Amari Cooper,19.0,WR,1,home,2018112900,74,left,HITCH
5,2018-11-30T01:23:34.400Z,88.45,26.9,0.0,0.0,0.01,237.37,222.95,None,2555224.0,Ezekiel Elliott,21.0,RB,1,home,2018112900,74,left,
6,2018-11-30T01:23:34.400Z,82.77,27.18,0.01,0.01,0.01,279.99,6.96,None,2555260.0,Dak Prescott,4.0,QB,1,home,2018112900,74,left,
7,2018-11-30T01:23:34.400Z,75.09,35.13,2.34,2.43,0.25,147.33,204.2,None,2555277.0,Eli Apple,25.0,CB,1,away,2018112900,74,left,
8,2018-11-30T01:23:34.400Z,78.93,33.06,1.56,0.51,0.16,126.24,183.14,None,2555530.0,Vonn Bell,24.0,FS,1,away,2018112900,74,left,
9,2018-11-30T01:23:34.400Z,73.65,9.48,0.64,0.89,0.06,332.12,17.97,None,2558061.0,Marshon Lattimore,23.0,CB,1,away,2018112900,74,left,
10,2018-11-30T01:23:34.400Z,84.41,30.55,2.84,2.92,0.3,235.61,188.99,None,2558091.0,Noah Brown,85.0,WR,1,home,2018112900,74,left,FLAT
11,2018-11-30T01:23:34.400Z,63.52,23.86,0.21,0.64,0.02,55.11,166.53,None,2558847.0,Marcus Williams,43.0,FS,1,away,2018112900,74,left,
12,2018-11-30T01:23:34.400Z,82.7,31.7,0.0,0.0,0.02,190.93,216.33,None,2560866.0,Dalton Schultz,86.0,TE,1,home,2018112900,74,left,IN
13,2018-11-30T01:23:34.400Z,81.45,27.16,0.0,0.0,0.01,,,None,,Football,,,1,football,2018112900,74,left,
784,2018-11-30T01:24:51.700Z,68.82,21.63,0.36,1.0,0.03,32.38,132.75,None,2533008.0,Demario Davis,56.0,ILB,1,away,2018112900,121,left,
785,2018-11-30T01:24:51.700Z,74.51,45.23,0.19,1.31,0.03,274.76,206.96,None,2535698.0,Cole Beasley,11.0,WR,1,home,2018112900,121,left,HITCH
786,2018-11-30T01:24:51.700Z,68.76,25.29,0.0,0.0,0.01,91.26,327.08,None,2539982.0,A.J. Klein,53.0,OLB,1,away,2018112900,121,left,
787,2018-11-30T01:24:51.700Z,70.93,37.17,0.59,1.25,0.07,83.0,337.59,None,2552484.0,P.J. Williams,26.0,CB,1,away,2018112900,121,left,
788,2018-11-30T01:24:51.700Z,75.05,8.0,0.01,0.49,0.0,226.87,12.6,None,2552487.0,Amari Cooper,19.0,WR,1,home,2018112900,121,left,HITCH
789,2018-11-30T01:24:51.700Z,79.14,21.9,0.17,0.11,0.02,216.53,138.04,None,2555224.0,Ezekiel Elliott,21.0,RB,1,home,2018112900,121,left,
790,2018-11-30T01:24:51.700Z,78.56,24.01,0.47,0.71,0.05,267.13,263.32,None,2555260.0,Dak Prescott,4.0,QB,1,home,2018112900,121,left,
791,2018-11-30T01:24:51.700Z,66.89,43.0,2.0,1.29,0.21,123.88,10.81,None,2555277.0,Eli Apple,25.0,CB,1,away,2018112900,121,left,
792,2018-11-30T01:24:51.700Z,70.11,14.46,0.3,0.86,0.03,86.39,345.05,None,2555530.0,Vonn Bell,24.0,FS,1,away,2018112900,121,left,
793,2018-11-30T01:24:51.700Z,76.49,36.07,0.01,0.32,0.0,289.69,224.06,None,2557920.0,Jourdan Lewis,27.0,CB,1,home,2018112900,121,left,GO
794,2018-11-30T01:24:51.700Z,66.78,8.62,1.22,0.26,0.12,97.38,255.23,None,2558061.0,Marshon Lattimore,23.0,CB,1,away,2018112900,121,left,
795,2018-11-30T01:24:51.700Z,57.26,24.46,1.59,0.25,0.16,124.81,310.08,None,2558847.0,Marcus Williams,43.0,FS,1,away,2018112900,121,left,
796,2018-11-30T01:24:51.700Z,74.45,16.4,0.12,0.08,0.01,280.34,0.39,None,2560866.0,Dalton Schultz,86.0,TE,1,home,2018112900,121,left,GO
797,2018-11-30T01:24:51.700Z,73.48,23.98,0.0,0.0,0.0,,,None,,Football,,,1,football,2018112900,121,left,
1456,2018-11-30T01:26:08.500Z,70.24,31.75,0.02,0.02,0.01,83.75,148.3,None,2533008.0,Demario Davis,56.0,ILB,1,away,2018112900,169,left,
1457,2018-11-30T01:26:08.500Z,71.66,20.19,0.0,0.0,0.0,289.42,59.35,None,2535698.0,Cole Beasley,11.0,WR,1,home,2018112900,169,left,GO
1458,2018-11-30T01:26:08.500Z,69.88,27.23,0.52,0.14,0.05,104.95,103.35,None,2539982.0,A.J. Klein,53.0,OLB,1,away,2018112900,169,left,
1459,2018-11-30T01:26:08.500Z,70.17,21.25,0.0,0.0,0.0,71.02,59.26,None,2552484.0,P.J. Williams,26.0,CB,1,away,2018112900,169,left,
1460,2018-11-30T01:26:08.500Z,72.95,18.04,0.0,0.0,0.0,299.82,185.83,None,2552487.0,Amari Cooper,19.0,WR,1,home,2018112900,169,left,POST
1461,2018-11-30T01:26:08.500Z,76.53,32.0,0.18,0.54,0.02,109.45,62.43,None,2555224.0,Ezekiel Elliott,21.0,RB,1,home,2018112900,169,left,
1462,2018-11-30T01:26:08.500Z,75.71,29.49,0.25,0.56,0.03,273.84,248.39,None,2555260.0,Dak Prescott,4.0,QB,1,home,2018112900,169,left,
1463,2018-11-30T01:26:08.500Z,63.71,41.23,0.01,0.01,0.01,115.46,176.96,None,2555277.0,Eli Apple,25.0,CB,1,away,2018112900,169,left,
1464,2018-11-30T01:26:08.500Z,70.22,22.45,0.05,0.08,0.01,41.74,30.92,None,2555530.0,Vonn Bell,24.0,FS,1,away,2018112900,169,left,
1465,2018-11-30T01:26:08.500Z,64.56,16.74,0.69,1.21,0.06,340.22,229.29,None,2558061.0,Marshon Lattimore,23.0,CB,1,away,2018112900,169,left,
1466,2018-11-30T01:26:08.500Z,69.85,35.31,0.0,0.0,0.01,104.74,42.17,None,2558163.0,Alex Anzalone,47.0,OLB,1,away,2018112900,169,left,
1467,2018-11-30T01:26:08.500Z,54.01,27.66,0.74,0.39,0.07,95.95,161.86,None,2558847.0,Marcus Williams,43.0,FS,1,away,2018112900,169,left,
1468,2018-11-30T01:26:08.500Z,74.38,25.02,0.32,1.04,0.03,262.42,143.01,None,2559193.0,Blake Jarwin,89.0,TE,1,home,2018112900,169,left,
1469,2018-11-30T01:26:08.500Z,72.04,41.85,0.0,0.0,0.0,221.49,111.11,None,2560735.0,Michael Gallup,13.0,WR,1,home,2018112900,169,left,OUT
1470,2018-11-30T01:26:08.500Z,70.86,29.58,0.0,0.0,0.0,,,None,,Football,,,1,football,2018112900,169,left,
2251,2018-11-30T01:27:30.099Z,52.31,35.89,0.29,1.28,0.02,133.2,318.02,None,494261.0,Kurt Coleman,29.0,SS,1,away,2018112900,227,left,
2252,2018-11-30T01:27:30.099Z,51.75,28.26,0.15,0.16,0.02,30.63,177.56,None,2533008.0,Demario Davis,56.0,ILB,1,away,2018112900,227,left,
2253,2018-11-30T01:27:30.099Z,54.97,37.0,0.04,0.04,0.01,97.86,43.35,None,2539982.0,A.J. Klein,53.0,OLB,1,away,2018112900,227,left,
2254,2018-11-30T01:27:30.099Z,57.55,18.05,0.08,0.07,0.02,250.27,145.97,None,2552487.0,Amari Cooper,19.0,WR,1,home,2018112900,227,left,HITCH
2255,2018-11-30T01:27:30.099Z,61.14,31.74,0.05,0.04,0.01,319.91,273.29,None,2555224.0,Ezekiel Elliott,21.0,RB,1,home,2018112900,227,left,ANGLE
2256,2018-11-30T01:27:30.099Z,60.52,29.69,0.0,0.0,0.01,271.11,328.11,None,2555260.0,Dak Prescott,4.0,QB,1,home,2018112900,227,left,
2257,2018-11-30T01:27:30.099Z,54.78,9.72,0.13,0.71,0.02,70.72,84.97,None,2555277.0,Eli Apple,25.0,CB,1,away,2018112900,227,left,
2258,2018-11-30T01:27:30.099Z,50.66,16.49,0.98,0.27,0.1,56.73,275.32,None,2558061.0,Marshon Lattimore,23.0,CB,1,away,2018112900,227,left,
2259,2018-11-30T01:27:30.099Z,51.71,32.69,0.22,0.38,0.03,69.3,178.76,None,2558163.0,Alex Anzalone,47.0,OLB,1,away,2018112900,227,left,
2260,2018-11-30T01:27:30.099Z,40.32,25.11,1.03,0.78,0.1,79.09,308.25,None,2558847.0,Marcus Williams,43.0,FS,1,away,2018112900,227,left,
2261,2018-11-30T01:27:30.099Z,57.66,35.56,0.01,0.01,0.01,228.8,328.6,None,2559193.0,Blake Jarwin,89.0,TE,1,home,2018112900,227,left,FLAT
2262,2018-11-30T01:27:30.099Z,57.18,9.75,0.04,0.03,0.01,251.68,323.77,None,2560735.0,Michael Gallup,13.0,WR,1,home,2018112900,227,left,GO
2263,2018-11-30T01:27:30.099Z,56.93,34.05,0.15,0.47,0.02,266.66,173.48,None,2560866.0,Dalton Schultz,86.0,TE,1,home,2018112900,227,left,IN
2264,2018-11-30T01:27:30.099Z,55.81,29.63,0.0,0.0,0.0,,,None,,Football,,,1,football,2018112900,227,left,
3245,2018-11-30T01:28:38.700Z,11.02,20.27,0.41,0.9,0.04,41.75,122.56,None,2533008.0,Demario Davis,56.0,ILB,1,away,2018112900,274,left,
3246,2018-11-30T01:28:38.700Z,17.28,29.52,0.15,0.44,0.02,265.14,37.43,None,2535698.0,Cole Beasley,11.0,WR,1,home,2018112900,274,left,FLAT
3247,2018-11-30T01:28:38.700Z,9.99,24.54,0.99,0.11,0.1,85.52,37.3,None,2539982.0,A.J. Klein,53.0,OLB,1,away,2018112900,274,left,
3248,2018-11-30T01:28:38.700Z,13.01,30.83,0.36,0.27,0.05,84.36,124.03,None,2552484.0,P.J. Williams,26.0,CB,1,away,2018112900,274,left,
3249,2018-11-30T01:28:38.700Z,17.09,32.25,0.67,1.36,0.06,341.58,21.59,None,2552487.0,Amari Cooper,19.0,WR,1,home,2018112900,274,left,HITCH
3250,2018-11-30T01:28:38.700Z,19.9,20.87,0.05,0.05,0.0,4.94,298.73,None,2555224.0,Ezekiel Elliott,21.0,RB,1,home,2018112900,274,left,FLAT
3251,2018-11-30T01:28:38.700Z,19.5,24.22,0.5,0.12,0.04,257.11,262.42,None,2555260.0,Dak Prescott,4.0,QB,1,home,2018112900,274,left,
3252,2018-11-30T01:28:38.700Z,11.3,14.75,0.71,0.43,0.07,93.89,104.16,None,2555277.0,Eli Apple,25.0,CB,1,away,2018112900,274,left,
3253,2018-11-30T01:28:38.700Z,11.45,28.28,1.89,0.59,0.19,23.81,7.35,None,2555530.0,Vonn Bell,24.0,FS,1,away,2018112900,274,left,
3254,2018-11-30T01:28:38.700Z,11.65,33.22,0.41,0.91,0.05,54.81,287.74,None,2558061.0,Marshon Lattimore,23.0,CB,1,away,2018112900,274,left,
3255,2018-11-30T01:28:38.700Z,7.47,23.97,0.83,0.71,0.08,35.99,302.59,None,2558847.0,Marcus Williams,43.0,FS,1,away,2018112900,274,left,
3256,2018-11-30T01:28:38.700Z,15.54,15.02,0.02,0.02,0.02,272.43,238.28,None,2560735.0,Michael Gallup,13.0,WR,1,home,2018112900,274,left,OUT
3257,2018-11-30T01:28:38.700Z,15.69,30.31,0.13,0.13,0.02,284.88,3.33,None,2560866.0,Dalton Schultz,86.0,TE,1,home,2018112900,274,left,HITCH
3258,2018-11-30T01:28:38.700Z,14.28,23.92,0.53,1.73,0.04,,,None,,Football,,,1,football,2018112900,274,left,
4393,2018-11-30T01:29:21.700Z,10.63,21.84,0.66,0.53,0.07,95.28,169.91,None,2533008.0,Demario Davis,56.0,ILB,1,away,2018112900,296,left,
4394,2018-11-30T01:29:21.700Z,16.72,44.06,0.0,0.0,0.0,287.05,73.33,None,2535698.0,Cole Beasley,11.0,WR,1,home,2018112900,296,left,
4395,2018-11-30T01:29:21.700Z,10.5,43.98,0.32,0.58,0.03,175.07,138.97,None,2552484.0,P.J. Williams,26.0,CB,1,away,2018112900,296,left,
4396,2018-11-30T01:29:21.700Z,15.72,10.91,0.01,0.01,0.0,248.76,145.32,None,2552487.0,Amari Cooper,19.0,WR,1,home,2018112900,296,left,
4397,2018-11-30T01:29:21.700Z,20.09,25.73,0.0,0.0,0.0,274.06,261.38,None,2555224.0,Ezekiel Elliott,21.0,RB,1,home,2018112900,296,left,
4398,2018-11-30T01:29:21.700Z,19.34,23.78,0.01,0.01,0.01,276.2,172.48,None,2555260.0,Dak Prescott,4.0,QB,1,home,2018112900,296,left,
4399,2018-11-30T01:29:21.700Z,13.51,36.53,0.06,0.61,0.01,71.57,106.11,None,2555277.0,Eli Apple,25.0,CB,1,away,2018112900,296,left,
4400,2018-11-30T01:29:21.700Z,11.54,18.69,2.26,2.69,0.24,67.19,191.88,None,2555530.0,Vonn Bell,24.0,FS,1,away,2018112900,296,left,
4401,2018-11-30T01:29:21.700Z,14.06,10.41,0.14,0.76,0.02,348.76,326.42,None,2558061.0,Marshon Lattimore,23.0,CB,1,away,2018112900,296,left,
4402,2018-11-30T01:29:21.700Z,10.37,26.05,0.11,1.02,0.01,63.72,18.22,None,2558163.0,Alex Anzalone,47.0,OLB,1,away,2018112900,296,left,
4403,2018-11-30T01:29:21.700Z,9.63,16.24,0.27,0.7,0.02,80.28,201.75,None,2558847.0,Marcus Williams,43.0,FS,1,away,2018112900,296,left,
4404,2018-11-30T01:29:21.700Z,16.94,18.42,0.25,0.98,0.03,258.0,271.06,None,2559193.0,Blake Jarwin,89.0,TE,1,home,2018112900,296,left,
4405,2018-11-30T01:29:21.700Z,15.79,36.62,0.01,0.01,0.0,260.7,143.89,None,2560735.0,Michael Gallup,13.0,WR,1,home,2018112900,296,left,
4406,2018-11-30T01:29:21.700Z,14.59,23.71,0.0,0.0,0.0,,,None,,Football,,,1,football,2018112900,296,left,
5289,2018-11-30T01:33:57.599Z,26.91,23.4,0.65,1.64,0.07,74.98,288.07,None,2504775.0,Drew Brees,9.0,QB,1,away,2018112900,358,right,
5290,2018-11-30T01:33:57.599Z,35.28,29.05,0.57,0.49,0.05,275.94,251.19,None,2541832.0,Jeff Heath,38.0,SS,1,home,2018112900,358,right,
5291,2018-11-30T01:33:57.599Z,29.64,28.64,0.11,0.05,0.02,62.77,52.84,None,2541834.0,Josh Hill,89.0,TE,1,away,2018112900,358,right,GO
5292,2018-11-30T01:33:57.599Z,32.82,35.9,0.01,0.01,0.0,239.22,187.99,None,2552568.0,Byron Jones,31.0,CB,1,home,2018112900,358,right,
5293,2018-11-30T01:33:57.599Z,36.43,24.61,0.0,0.0,0.0,246.41,81.18,None,2555310.0,Jaylon Smith,54.0,MLB,1,home,2018112900,358,right,
5294,2018-11-30T01:33:57.599Z,39.96,31.51,0.22,0.91,0.02,261.26,66.2,None,2555531.0,Anthony Brown,30.0,CB,1,home,2018112900,358,right,
