playId,playerId,areaDifference,numberPlayersDeep,numberPlayersDeepDifference,numberPlayersUnderneath,densityDifference,heightDifference,widthDifference,cluster,homeScore,visitorScore,down,quarter,yardsToGo,yardsToEndZone,gameClock,defenseValoration
2018090600:190:1,79848.0,55.82549999999992,1,1,5,0.1074777655372546,2.760000000000005,-10.149999999999991,0.0,0.0,0.0,3,1,10,39.0,13:01:00,0
2018090600:190:1,2495613.0,55.82549999999992,1,1,5,0.1074777655372546,2.760000000000005,-10.149999999999991,0.0,0.0,0.0,3,1,10,39.0,13:01:00,0
2018090600:190:1,2534832.0,55.82549999999992,1,1,5,0.1074777655372546,2.760000000000005,-10.149999999999991,0.0,0.0,0.0,3,1,10,39.0,13:01:00,0
2018090600:190:1,2552689.0,55.82549999999992,1,1,5,0.1074777655372546,2.760000000000005,-10.149999999999991,0.0,0.0,0.0,3,1,10,39.0,13:01:00,0
2018090600:190:1,2555383.0,55.82549999999992,1,1,5,0.1074777655372546,2.760000000000005,-10.149999999999991,0.0,0.0,0.0,3,1,10,39.0,13:01:00,0
2018090600:190:1,2557958.0,55.82549999999992,1,1,5,0.1074777655372546,2.760000000000005,-10.149999999999991,0.0,0.0,0.0,3,1,10,39.0,13:01:00,0
2018090600:344:1,2539334.0,7.821499999999986,1,1,6,0.8949689957169357,-0.3599999999999959,-12.149999999999997,0.0,0.0,0.0,3,1,4,102.0,09:24:00,1
2018090600:344:1,2539653.0,7.821499999999986,1,1,6,0.8949689957169357,-0.3599999999999959,-12.149999999999997,0.0,0.0,0.0,3,1,4,102.0,09:24:00,1
2018090600:344:1,2543850.0,7.821499999999986,1,1,6,0.8949689957169357,-0.3599999999999959,-12.149999999999997,0.0,0.0,0.0,3,1,4,102.0,09:24:00,1
2018090600:344:1,2555162.0,7.821499999999986,1,1,6,0.8949689957169357,-0.3599999999999959,-12.149999999999997,0.0,0.0,0.0,3,1,4,102.0,09:24:00,1
2018090600:344:1,2555255.0,7.821499999999986,1,1,6,0.8949689957169357,-0.3599999999999959,-12.149999999999997,0.0,0.0,0.0,3,1,4,102.0,09:24:00,1
2018090600:344:1,2555543.0,7.821499999999986,1,1,6,0.8949689957169357,-0.3599999999999959,-12.149999999999997,0.0,0.0,0.0,3,1,4,102.0,09:24:00,1
2018090600:344:1,2556445.0,7.821499999999986,1,1,6,0.8949689957169357,-0.3599999999999959,-12.149999999999997,0.0,0.0,0.0,3,1,4,102.0,09:24:00,1
2018090600:949:1,79848.0,64.43249999999998,1,1,6,0.1086408256702751,1.6400000000000006,-6.25,0.0,0.0,3.0,3,2,12,92.0,15:00:00,1
2018090600:949:1,2495613.0,64.43249999999998,1,1,6,0.1086408256702751,1.6400000000000006,-6.25,0.0,0.0,3.0,3,2,12,92.0,15:00:00,1
2018090600:949:1,2534832.0,64.43249999999998,1,1,6,0.1086408256702751,1.6400000000000006,-6.25,0.0,0.0,3.0,3,2,12,92.0,15:00:00,1
2018090600:949:1,2552315.0,64.43249999999998,1,1,6,0.1086408256702751,1.6400000000000006,-6.25,0.0,0.0,3.0,3,2,12,92.0,15:00:00,1
2018090600:949:1,2552689.0,64.43249999999998,1,1,6,0.1086408256702751,1.6400000000000006,-6.25,0.0,0.0,3.0,3,2,12,92.0,15:00:00,1
2018090600:949:1,2555383.0,64.43249999999998,1,1,6,0.1086408256702751,1.6400000000000006,-6.25,0.0,0.0,3.0,3,2,12,92.0,15:00:00,1
2018090600:949:1,2557958.0,64.43249999999998,1,1,6,0.1086408256702751,1.6400000000000006,-6.25,0.0,0.0,3.0,3,2,12,92.0,15:00:00,1
2018090600:1037:1,2539334.0,164.0950000000001,2,1,4,0.0365641853804198,5.409999999999995,-9.520000000000014,1.0,0.0,3.0,3,2,7,57.0,12:53:00,0
2018090600:1037:1,2539653.0,164.0950000000001,2,1,4,0.0365641853804198,5.409999999999995,-9.520000000000014,1.0,0.0,3.0,3,2,7,57.0,12:53:00,0
2018090600:1037:1,2543850.0,164.0950000000001,2,1,4,0.0365641853804198,5.409999999999995,-9.520000000000014,1.0,0.0,3.0,3,2,7,57.0,12:53:00,0
2018090600:1037:1,2555255.0,164.0950000000001,2,1,4,0.0365641853804198,5.409999999999995,-9.520000000000014,1.0,0.0,3.0,3,2,7,57.0,12:53:00,0
2018090600:1037:1,2555543.0,164.0950000000001,2,1,4,0.0365641853804198,5.409999999999995,-9.520000000000014,1.0,0.0,3.0,3,2,7,57.0,12:53:00,0
2018090600:1037:1,2556445.0,164.0950000000001,2,1,4,0.0365641853804198,5.409999999999995,-9.520000000000014,1.0,0.0,3.0,3,2,7,57.0,12:53:00,0
2018090600:1801:1,2539334.0,126.9149999999999,1,0,6,0.0551550250167435,2.640000000000001,-12.519999999999996,0.0,3.0,6.0,3,2,3,64.0,01:35:00,1
2018090600:1801:1,2539653.0,126.9149999999999,1,0,6,0.0551550250167435,2.640000000000001,-12.519999999999996,0.0,3.0,6.0,3,2,3,64.0,01:35:00,1
2018090600:1801:1,2543850.0,126.9149999999999,1,0,6,0.0551550250167435,2.640000000000001,-12.519999999999996,0.0,3.0,6.0,3,2,3,64.0,01:35:00,1
2018090600:1801:1,2555162.0,126.9149999999999,1,0,6,0.0551550250167435,2.640000000000001,-12.519999999999996,0.0,3.0,6.0,3,2,3,64.0,01:35:00,1
2018090600:1801:1,2555255.0,126.9149999999999,1,0,6,0.0551550250167435,2.640000000000001,-12.519999999999996,0.0,3.0,6.0,3,2,3,64.0,01:35:00,1
